B_r (mT),stdev B_r,ΔB_r (mT),B_e (mT),ΔB_e (mT),B_r_norm (mT),θ (deg),θ (rad),Δθ (rad)
0.031318,0.00039159,0.000113042296,0.030844,0.0001048419608,0.000474,0,0,0.005038331567
0.03175,0.000338815,0.00009780746573,0.030844,0.0001048419608,0.000906,40,0.6981317008,0.005038331567
0.030936,0.000252142,0.00007278712579,0.030844,0.0001048419608,0.000092,80,1.396263402,0.005038331567
0.029388,0.000315995,0.00009121989916,0.030844,0.0001048419608,-0.001456,120,2.094395102,0.005038331567
0.029216,0.00040926,0.0001181431856,0.030844,0.0001048419608,-0.001628,160,2.792526803,0.005038331567
0.029198,0.000471424,0.0001360883867,0.030844,0.0001048419608,-0.001646,200,3.490658504,0.005038331567
0.02937,0.000481176,0.0001389035466,0.030844,0.0001048419608,-0.001474,240,4.188790205,0.005038331567
0.030554,0.000288706,0.00008334224341,0.030844,0.0001048419608,-0.00029,280,4.886921906,0.005038331567
0.031414,0.000443552,0.0001280424333,0.030844,0.0001048419608,0.00057,320,5.585053606,0.005038331567
0.031264,0.000256952,0.00007417565318,0.030844,0.0001048419608,0.00042,360,6.283185307,0.005038331567