Time(s),Voltage I/O-1(V)
0,0.001
0.002,0.001
0.004,0.004
0.006,0
0.008,0.001
0.01,0.001
0.012,0
0.014,-0.001
0.016,0
0.018,0.001
0.02,0
0.022,-0.001
0.024,0.001
0.026,0
0.028,0
0.03,0.001
0.032,-0.001
0.034,0
0.036,0.001
0.038,-0.002
0.04,0
0.042,0
0.044,0
0.046,0.002
0.048,0.001
0.05,0.001
0.052,0.002
0.054,0
0.056,0.001
0.058,-0.004
0.06,0
0.062,0.001
0.064,0
0.066,0.002
0.068,0.002
0.07,0
0.072,0.001
0.074,0.001
0.076,0
0.078,0
0.08,0
0.082,0
0.084,0.002
0.086,0.001
0.088,0.001
0.09,0
0.092,0.001
0.094,0.002
0.096,0.001
0.098,0.001
0.1,0.001
0.102,-0.001
0.104,0.002
0.106,0
0.108,0
0.11,0.004
0.112,0.001
0.114,0.002
0.116,0.002
0.118,0.001
0.12,0.001
0.122,-0.001
0.124,-0.001
0.126,0.001
0.128,0
0.13,-0.001
0.132,0.001
0.134,0
0.136,0.001
0.138,0.001
0.14,0.002
0.142,0
0.144,0
0.146,0
0.148,0
0.15,0
0.152,0.001
0.154,0.001
0.156,0
0.158,0.002
0.16,0.001
0.162,0.002
0.164,0
0.166,0.001
0.168,0.002
0.17,-0.001
0.172,0.002
0.174,0.002
0.176,0.002
0.178,0.004
0.18,0
0.182,0.001
0.184,0
0.186,-0.001
0.188,0.001
0.19,-0.002
0.192,0.001
0.194,0.001
0.196,0
0.198,0.002
0.2,0
0.202,0
0.204,0.002
0.206,0
0.208,0
0.21,0
0.212,0
0.214,0.001
0.216,0.001
0.218,0.002
0.22,0.002
0.222,0.001
0.224,0.001
0.226,0
0.228,-0.001
0.23,-0.001
0.232,0
0.234,0
0.236,0.002
0.238,0
0.24,0
0.242,0.001
0.244,0
0.246,0
0.248,0
0.25,-0.001
0.252,0.002
0.254,0.001
0.256,0.002
0.258,0.001
0.26,0
0.262,0.001
0.264,0
0.266,0
0.268,0.001
0.27,0.002
0.272,0.002
0.274,0.002
0.276,0
0.278,0
0.28,-0.001
0.282,0
0.284,0.001
0.286,0.002
0.288,0.002
0.29,0.002
0.292,0
0.294,0.001
0.296,-0.001
0.298,0.001
0.3,0
0.302,0
0.304,0
0.306,0.001
0.308,0.001
0.31,0.002
0.312,-0.001
0.314,0.001
0.316,0
0.318,0.001
0.32,0
0.322,0
0.324,0
0.326,0.002
0.328,0
0.33,0.002
0.332,0
0.334,0
0.336,0.001
0.338,0
0.34,0.001
0.342,0
0.344,0.001
0.346,0.001
0.348,0
0.35,0.001
0.352,0.001
0.354,0.001
0.356,0.001
0.358,0
0.36,0
0.362,0.001
0.364,0
0.366,0
0.368,0
0.37,0.001
0.372,0.002
0.374,0.002
0.376,0.001
0.378,-0.001
0.38,0
0.382,0.001
0.384,0
0.386,0
0.388,-0.001
0.39,0
0.392,0.001
0.394,0.002
0.396,0.002
0.398,0.001
0.4,0.001
0.402,0.002
0.404,0.001
0.406,0
0.408,-0.001
0.41,0.002
0.412,0
0.414,0.002
0.416,0.001
0.418,-0.001
0.42,0.001
0.422,0
0.424,0
0.426,0.001
0.428,-0.002
0.43,0.002
0.432,0.001
0.434,0
0.436,0.001
0.438,-0.001
0.44,0
0.442,0.002
0.444,0
0.446,0
0.448,-0.001
0.45,0.002
0.452,0.001
0.454,0.001
0.456,0.002
0.458,0.001
0.46,0
0.462,0.001
0.464,0
0.466,0
0.468,0
0.47,0
0.472,0.001
0.474,0.004
0.476,0.002
0.478,0.002
0.48,0
0.482,0
0.484,0
0.486,-0.001
0.488,-0.001
0.49,-0.001
0.492,0
0.494,0.001
0.496,0
0.498,0.001
0.5,0.002
0.502,0
0.504,0.002
0.506,0.001
0.508,-0.002
0.51,0
0.512,0.001
0.514,0.002
0.516,0
0.518,0
0.52,0.002
0.522,0
0.524,0
0.526,0.001
0.528,0.001
0.53,0
0.532,0
0.534,-0.002
0.536,-0.001
0.538,0
0.54,0.001
0.542,0.001
0.544,0.001
0.546,0
0.548,0.001
0.55,0
0.552,0
0.554,-0.002
0.556,0
0.558,-0.001
0.56,0
0.562,0.001
0.564,0.001
0.566,-0.002
0.568,0.002
0.57,-0.001
0.572,0
0.574,0
0.576,-0.002
0.578,-0.001
0.58,0
0.582,0
0.584,0.001
0.586,0
0.588,0.002
0.59,0
0.592,-0.001
0.594,-0.001
0.596,-0.002
0.598,-0.002
0.6,0
0.602,-0.001
0.604,0
0.606,-0.001
0.608,-0.001
0.61,-0.001
0.612,-0.002
0.614,-0.002
0.616,0
0.618,-0.002
0.62,0
0.622,-0.001
0.624,-0.002
0.626,-0.002
0.628,-0.002
0.63,-0.001
0.632,-0.001
0.634,-0.002
0.636,-0.001
0.638,-0.002
0.64,-0.002
0.642,-0.004
0.644,-0.004
0.646,-0.005
0.648,-0.004
0.65,-0.004
0.652,0
0.654,-0.005
0.656,-0.004
0.658,-0.004
0.66,-0.006
0.662,-0.005
0.664,-0.005
0.666,-0.005
0.668,-0.005
0.67,-0.006
0.672,-0.005
0.674,-0.007
0.676,-0.01
0.678,-0.007
0.68,-0.009
0.682,-0.009
0.684,-0.007
0.686,-0.011
0.688,-0.01
0.69,-0.01
0.692,-0.011
0.694,-0.012
0.696,-0.015
0.698,-0.017
0.7,-0.017
0.702,-0.02
0.704,-0.021
0.706,-0.024
0.708,-0.024
0.71,-0.026
0.712,-0.028
0.714,-0.029
0.716,-0.033
0.718,-0.037
0.72,-0.04
0.722,-0.046
0.724,-0.05
0.726,-0.052
0.728,-0.059
0.73,-0.066
0.732,-0.073
0.734,-0.081
0.736,-0.092
0.738,-0.103
0.74,-0.114
0.742,-0.129
0.744,-0.144
0.746,-0.164
0.748,-0.183
0.75,-0.207
0.752,-0.233
0.754,-0.264
0.756,-0.299
0.758,-0.332
0.76,-0.372
0.762,-0.413
0.764,-0.45
0.766,-0.483
0.768,-0.509
0.77,-0.526
0.772,-0.531
0.774,-0.522
0.776,-0.503
0.778,-0.466
0.78,-0.427
0.782,-0.376
0.784,-0.322
0.786,-0.267
0.788,-0.21
0.79,-0.155
0.792,-0.106
0.794,-0.054
0.796,-0.007
0.798,0.034
0.8,0.066
0.802,0.089
0.804,0.1
0.806,0.095
0.808,0.073
0.81,0.039
0.812,-0.007
0.814,-0.054
0.816,-0.094
0.818,-0.125
0.82,-0.134
0.822,-0.133
0.824,-0.122
0.826,-0.101
0.828,-0.078
0.83,-0.05
0.832,-0.022
0.834,0.006
0.836,0.037
0.838,0.063
0.84,0.087
0.842,0.101
0.844,0.099
0.846,0.084
0.848,0.045
0.85,-0.004
0.852,-0.055
0.854,-0.099
0.856,-0.121
0.858,-0.121
0.86,-0.105
0.862,-0.076
0.864,-0.034
0.866,0.011
0.868,0.062
0.87,0.114
0.872,0.166
0.874,0.21
0.876,0.248
0.878,0.266
0.88,0.254
0.882,0.204
0.884,0.11
0.886,-0.011
0.888,-0.132
0.89,-0.225
0.892,-0.28
0.894,-0.286
0.896,-0.26
0.898,-0.212
0.9,-0.154
0.902,-0.092
0.904,-0.028
0.906,0.037
0.908,0.094
0.91,0.142
0.912,0.168
0.914,0.161
0.916,0.107
0.918,0.016
0.92,-0.077
0.922,-0.129
0.924,-0.122
0.926,-0.066
0.928,0.018
0.93,0.12
0.932,0.231
0.934,0.348
0.936,0.472
0.938,0.605
0.94,0.746
0.942,0.884
0.944,0.95
0.946,-0.399
0.948,-0.341
0.95,-0.234
0.952,-0.21
0.954,-0.188
0.956,-0.155
0.958,-0.115
0.96,-0.094
0.962,-0.071
0.964,-0.063
0.966,-0.035
0.968,-0.034
0.97,-0.039
0.972,-0.029
0.974,-0.029
0.976,-0.013
0.978,-0.009
0.98,-0.004
0.982,-0.007
0.984,-0.007
0.986,-0.009
0.988,-0.005
0.99,-0.002
0.992,0.012
0.994,0.021
0.996,0.023
0.998,0.011
1,0.016
1.002,0.02
1.004,0.023
1.006,0.026
1.008,0.042
1.01,0.045
1.012,0.05
1.014,0.056
1.016,0.06
1.018,0.051
1.02,0.056
1.022,0.059
1.024,0.065
1.026,0.07
1.028,0.071
1.03,0.078
1.032,0.083
1.034,0.087
1.036,0.09
1.038,0.095
1.04,0.104
1.042,0.104
1.044,0.105
1.046,0.1
1.048,0.095
1.05,0.078
1.052,0.072
1.054,0.067
1.056,0.044
1.058,-0.007
1.06,-0.016
1.062,-0.024
1.064,-0.024
1.066,-0.026
1.068,-0.02
1.07,-0.023
1.072,-0.023
1.074,-0.022
1.076,-0.024
1.078,-0.022
1.08,-0.022
1.082,-0.022
1.084,-0.018
1.086,-0.021
1.088,-0.02
1.09,-0.017
1.092,-0.016
1.094,-0.011
1.096,-0.01
1.098,-0.01
1.1,-0.006
1.102,-0.007
1.104,-0.005
1.106,-0.002
1.108,0
1.11,0.004
1.112,0.002
1.114,0.005
1.116,0.005
1.118,0.002
1.12,0.001
1.122,0.002
1.124,0.004
1.126,0.004
1.128,0.004
1.13,0.004
1.132,0.001
1.134,0.001
1.136,0.002
1.138,0.001
1.14,0
1.142,0
1.144,0
1.146,0.001
1.148,0.001
1.15,0
1.152,0
1.154,0.001
1.156,0
1.158,0.002
1.16,0
1.162,0
1.164,0.002
1.166,0
1.168,0.004
1.17,0.001
1.172,0.001
1.174,0.002
1.176,0.001
1.178,-0.001
1.18,-0.001
1.182,0
1.184,0.002
1.186,0.002
1.188,0.004
1.19,0.001
1.192,0
1.194,0
1.196,0
1.198,-0.002
1.2,0
1.202,-0.001
1.204,0.001
1.206,0.001
1.208,0.001
1.21,0.001
1.212,0
1.214,0.001
1.216,0.001
1.218,0
1.22,0
1.222,-0.001
1.224,0.001
1.226,0
1.228,0.001
1.23,0.001
1.232,0.001
1.234,0
1.236,0.002
1.238,0.001
1.24,0
1.242,0
1.244,0
1.246,0
1.248,0.002
1.25,0.001
1.252,0.002
1.254,0.002
1.256,0
1.258,0
1.26,0
1.262,0
1.264,-0.001
1.266,0.001
1.268,0
1.27,0
1.272,0
1.274,0.002
1.276,0.001
1.278,0.002
1.28,0.001
1.282,-0.001
1.284,0
1.286,0
1.288,-0.001
1.29,0
1.292,-0.001
1.294,0.002
1.296,0.002
1.298,0.005
1.3,0.004
1.302,0.001
1.304,0.002
1.306,0.001
1.308,-0.002
1.31,0.001
1.312,0
1.314,0.001
1.316,0.002
1.318,0.001
1.32,0.002
1.322,0.002
1.324,0.001
1.326,0
1.328,0
1.33,0
1.332,0
1.334,0
1.336,0.001
1.338,0.001
1.34,0
1.342,0.002
1.344,0.002
1.346,0.002
1.348,0
1.35,0
1.352,0
1.354,0.001
1.356,-0.001
1.358,0
1.36,0
1.362,0.002
1.364,0.004
1.366,0.001
1.368,0
1.37,0
1.372,0
1.374,0
1.376,0
1.378,0.001
1.38,0.001
1.382,0
1.384,0.002
1.386,0.002
1.388,0
1.39,0.001
1.392,0.001
1.394,0
1.396,0.001
1.398,0.001
1.4,0
1.402,0
1.404,0
1.406,0.002
1.408,0.001
1.41,0.001
1.412,0
1.414,0
1.416,0
1.418,0
1.42,0.001
1.422,0.002
1.424,0.001
1.426,0.001
1.428,0.001
1.43,0
1.432,0
1.434,-0.002
1.436,0
1.438,0
1.44,0.001
1.442,0.002
1.444,0.001
1.446,0.004
1.448,0.001
1.45,0
1.452,0.001
1.454,0
1.456,0
1.458,0.002
1.46,-0.002
1.462,0
1.464,0
1.466,0
1.468,0.002
1.47,0
1.472,0.001
1.474,0.001
1.476,-0.001
1.478,0
1.48,-0.001
1.482,0
1.484,0.001
1.486,0
1.488,0.002
1.49,0
1.492,0
1.494,0
1.496,-0.001
1.498,0
1.5,0
1.502,0
1.504,0
1.506,0
1.508,0
1.51,0
1.512,0.002
1.514,0
1.516,0.001
1.518,0.001
1.52,0.002
1.522,0
1.524,0
1.526,0
1.528,0
1.53,-0.001
1.532,0.002
1.534,0.001
1.536,0.002
1.538,0
1.54,-0.001
1.542,0.001
1.544,0
1.546,0
1.548,0.001
1.55,0
1.552,0.002
1.554,0.001
1.556,0.004
1.558,-0.001
1.56,0
1.562,0
1.564,0.001
1.566,0
1.568,0.002
1.57,0.002
1.572,0.001
1.574,0.001
1.576,0.001
1.578,0
1.58,0.001
1.582,-0.001
1.584,0.002
1.586,0.002
1.588,0
1.59,0.001
1.592,0
1.594,0
1.596,0.001
1.598,0
1.6,0.002
1.602,0
1.604,0
1.606,0
1.608,-0.001
1.61,0
1.612,0
1.614,0
1.616,0.002
1.618,-0.001
1.62,0.001
1.622,0.001
1.624,0
1.626,0
1.628,0
1.63,0
1.632,0.001
1.634,0
1.636,0
1.638,-0.002
1.64,-0.001
1.642,0.001
1.644,0.002
1.646,0.001
1.648,0.001
1.65,-0.001
1.652,0.002
1.654,0
1.656,0
1.658,0.001
1.66,0
1.662,0.002
1.664,0.001
1.666,0
1.668,-0.001
1.67,-0.001
1.672,0
1.674,0
1.676,0.001
1.678,0
1.68,0.002
1.682,0.001
1.684,0.002
1.686,0.001
1.688,0.001
1.69,0
1.692,-0.001
1.694,0
1.696,0
1.698,0
1.7,0.001
1.702,0.002
1.704,0.001
1.706,0.002
1.708,0.002
1.71,0.001
1.712,0.001
1.714,-0.001
1.716,-0.001
1.718,0
1.72,0
1.722,0.002
1.724,0.002
1.726,0.002
1.728,0.002
1.73,0
1.732,0.002
1.734,-0.001
1.736,0.001
1.738,0.001
1.74,0.001
1.742,0.001
1.744,0
1.746,0
1.748,0
1.75,0
1.752,0
1.754,0
1.756,0
1.758,0.002
1.76,-0.001
1.762,0
1.764,0
1.766,-0.001
1.768,0
1.77,0.002
1.772,0
1.774,0.002
1.776,0
1.778,0
1.78,0
1.782,0
1.784,0.001
1.786,-0.001
1.788,0
1.79,0.001
1.792,0.001
1.794,0.002
1.796,0.001
1.798,0
1.8,0.001
1.802,0.002
1.804,0
1.806,0.002
1.808,0
1.81,0.002
1.812,0.001
1.814,0.001
1.816,0.001
1.818,0
1.82,0
1.822,0.001
1.824,0
1.826,0
1.828,0
1.83,0.001
1.832,0.001
1.834,0
1.836,0
1.838,0.002
1.84,0
1.842,0.001
1.844,-0.001
1.846,-0.002
1.848,0
1.85,0.001
1.852,0.001
1.854,0
1.856,-0.002
1.858,0
1.86,-0.001
1.862,0
1.864,0.002
1.866,0.001
1.868,0.002
1.87,0
1.872,0
1.874,0
1.876,-0.001
1.878,0
1.88,0.002
1.882,0.002
1.884,0.002
1.886,0.002
1.888,0.001
1.89,0.002
1.892,0
1.894,0
1.896,0.001
1.898,0
1.9,0.002
1.902,0
1.904,0
1.906,0.002
1.908,-0.001
1.91,0.001
1.912,0.004
1.914,0.002
1.916,0.001
1.918,0.001
1.92,0
1.922,0.001
1.924,0
1.926,0.002
1.928,0
1.93,0.001
1.932,0.004
1.934,0
1.936,-0.001
1.938,0.001
1.94,0
1.942,0.004
1.944,0.001
1.946,0.002
1.948,0.002
1.95,0
1.952,0.002
1.954,0
1.956,-0.002
1.958,0.002
1.96,0
1.962,0.002
1.964,0.002
1.966,0
1.968,0.001
1.97,0.001
1.972,0
1.974,0.001
1.976,0
1.978,0
1.98,0
1.982,0
1.984,0
1.986,-0.002
1.988,-0.001
1.99,0.001
1.992,0.001
1.994,0
1.996,0.001
1.998,0.002
